ETF이름,현재기준의카테고리,제외여부,변경할카테고리
TIGER 12월자동연장금융채(AA-이상)액티브,단기채권,사용,채권
TIGER 200,대표지수,사용,지수
TIGER 200 IT,섹터,사용,AI/테크
TIGER 200 IT레버리지,섹터,사용,AI/테크
TIGER 200 TR,대표지수,사용,지수
TIGER 200 건설,섹터,사용,소재/산업재
TIGER 200 경기소비재,섹터,사용,소비/콘텐츠
TIGER 200 금융,섹터,사용,금융
TIGER 200 동일가중,테마,사용,스타일/팩터
TIGER 200 산업재,섹터,사용,소재/산업재
TIGER 200 생활소비재,섹터,사용,소비/콘텐츠
TIGER 200 선물레버리지,대표지수,제외,지수
TIGER 200 선물인버스2X,대표지수,제외,지수
TIGER 200 에너지화학,섹터,사용,소재/산업재
TIGER 200 에너지화학레버리지,섹터,사용,소재/산업재
TIGER 200 중공업,섹터,사용,소재/산업재
TIGER 200 철강소재,섹터,사용,소재/산업재
TIGER 200 커뮤니케이션서비스,섹터,사용,테마
TIGER 200 커버드콜,개인연금,제외,커버드콜
TIGER 200 커버드콜OTM,개인연금,제외,커버드콜
TIGER 200 헬스케어,섹터,사용,헬스케어/바이오
TIGER 200타겟위클리커버드콜,개인연금,제외,커버드콜
TIGER 27-04회사채(A+이상)액티브,단기채권,사용,채권
TIGER 28-04 회사채(A+이상)액티브,단기채권,사용,채권
TIGER 2차전지TOP10,테마,사용,2차전지/전기차
TIGER 2차전지TOP10레버리지,테마,사용,2차전지/전기차
TIGER 2차전지소재Fn,테마,사용,2차전지/전기차
TIGER 2차전지테마,테마,사용,2차전지/전기차
TIGER AI반도체핵심공정,테마,사용,반도체
TIGER AI코리아그로스액티브,테마,사용,AI/테크
TIGER BBIG,테마,사용,AI/테크
TIGER BBIG 레버리지,테마,사용,AI/테크
TIGER CD1년금리액티브(합성),단기채권,사용,채권
TIGER CD금리투자KIS(합성),단기채권,사용,채권
TIGER CD금리플러스액티브(합성),단기채권,사용,채권
TIGER Fn메타버스,테마,사용,AI/테크
TIGER Fn신재생에너지,테마,사용,산업/에너지
TIGER KEDI혁신기업ESG30,테마,사용,스타일/팩터
TIGER KOFR금리액티브(합성),단기채권,사용,채권
TIGER KRX300,대표지수,사용,지수
TIGER KRX금현물,개인연금,사용,원자재
TIGER KRX기후변화솔루션,테마,사용,산업/에너지
TIGER KTOP30,대표지수,사용,지수
TIGER K게임,테마,사용,소비/콘텐츠
TIGER K방산&우주,테마,사용,산업/에너지
TIGER LG그룹플러스,테마,사용,그룹/기업
TIGER MKF배당귀족,테마,사용,배당
TIGER MSCI KOREA ESG 리더스,테마,사용,스타일/팩터
TIGER MSCI KOREA ESG 유니버설,테마,사용,스타일/팩터
TIGER MSCI KOREA TR,대표지수,사용,지수
TIGER S&P 글로벌헬스케어(합성),테마,사용,헬스케어/바이오
TIGER S&P글로벌인프라(합성),테마,사용,부동산/인프라
TIGER TDF2045 적격,대표지수,사용,지수
TIGER TSMC파운드리밸류체인,테마,사용,반도체
TIGER 게임TOP10,테마,사용,소비/콘텐츠
TIGER 경기방어,섹터,사용,소비/콘텐츠
TIGER 경기방어채권혼합,섹터,사용,채권
TIGER 골드선물(H),개인연금,제외,원자재
TIGER 구글밸류체인,테마,사용,AI/테크
TIGER 구리실물,개인연금,사용,원자재
TIGER 국고채30년스트립액티브,장기채권,사용,채권
TIGER 국채3년,단기채권,사용,채권
TIGER 글로벌4차산업혁신기술(합성 H),테마,사용,AI/테크
TIGER 글로벌AI&로보틱스INDXX,테마,사용,AI/테크
TIGER 글로벌AI사이버보안,테마,사용,AI/테크
TIGER 글로벌AI액티브,테마,사용,AI/테크
TIGER 글로벌AI전력인프라액티브,테마,사용,AI/테크
TIGER 글로벌AI플랫폼액티브,테마,사용,AI/테크
